reliability_bin,player_days,positive_days,minimum_prediction,maximum_prediction,mean_prediction,observed_rate,arm,bin_supported
5,1681,1,0.009137862534763607,0.012334258402713537,0.011030970507277785,0.000594883997620464,F1_isotonic,false
6,1682,2,0.012334258402713537,0.01644430654669563,0.014800721960188707,0.0011890606420927466,F1_isotonic,false
7,1681,7,0.01644430654669563,0.037383177570093455,0.024314386531766884,0.004164187983343248,F1_isotonic,true
8,1682,15,0.037383177570093455,0.0670391061452514,0.042165862980800106,0.0089179548156956,F1_isotonic,true
9,1681,66,0.0670391061452514,1.0,0.14151080635142838,0.039262343842950624,F1_isotonic,true
0,1682,0,0.0019820995731444197,0.008794326305019947,0.007703849569219271,0.0,F3_raw,false
1,1681,0,0.008796122265869753,0.010760976891904203,0.00969810110912958,0.0,F3_raw,false
2,1682,0,0.010762986909676763,0.012763751946600189,0.012205445096812274,0.0,F3_raw,false
3,1681,2,0.012763751946600189,0.015415321332381816,0.013709658426263894,0.001189767995240928,F3_raw,false
4,1682,4,0.01541550074038943,0.017338487527623077,0.01666787693652105,0.0023781212841854932,F3_raw,false
5,1681,1,0.017338487527623077,0.019986856910888796,0.018101997337821498,0.000594883997620464,F3_raw,false
6,1682,14,0.019987630702905598,0.02509015524386705,0.022382686967876576,0.008323424494649227,F3_raw,true
7,1681,2,0.02509377131582698,0.03153679049953426,0.028123713066258563,0.001189767995240928,F3_raw,false
8,1682,14,0.0315393585791421,0.04424732034790545,0.03700629977255527,0.008323424494649227,F3_raw,true
9,1681,67,0.04425848161923489,0.15433826259692954,0.06490326150465474,0.03985722784057109,F3_raw,true
0,1682,0,0.00030368867870936273,0.0044733856240048225,0.003763923675130368,0.0,F3_platt,false
1,1681,0,0.004476162529579927,0.005983375447623588,0.005147628062901415,0.0,F3_platt,false
2,1682,0,0.005983375447623588,0.0069721101055284325,0.006400319917654539,0.0,F3_platt,false
3,1681,0,0.006973466914251412,0.009522022900547582,0.008543383876074867,0.0,F3_platt,false
4,1682,0,0.009522022900547582,0.011174297916144145,0.009870483219925315,0.0,F3_platt,false
5,1681,13,0.011174297916144145,0.016268141543789562,0.013558380658423057,0.007733491969066032,F3_platt,true
6,1682,8,0.01627163276267937,0.023574330373049006,0.01989402301300015,0.0047562425683709865,F3_platt,true
7,1681,5,0.023576353830446536,0.034486747500453156,0.02866523602771346,0.00297441998810232,F3_platt,true
8,1682,8,0.034493550632709945,0.05953670620222691,0.044630331141087234,0.0047562425683709865,F3_platt,true
9,1681,70,0.05965760764468641,0.465239260482952,0.12482432944356446,0.04164187983343248,F3_platt,true
0,1682,0,0.0,0.0,0.0,0.0,F3_isotonic,false
1,1681,0,0.0,0.0031982942430703624,0.002073104485648492,0.0,F3_isotonic,false
2,1682,0,0.0031982942430703624,0.006868131868131868,0.006338093401909508,0.0,F3_isotonic,false
3,1681,0,0.006868131868131868,0.008959875340864823,0.007017651436423258,0.0,F3_isotonic,false
4,1682,6,0.008959875340864823,0.010915706488781079,0.00980558048433224,0.0035671819262782403,F3_isotonic,true
5,1681,3,0.010915706488781079,0.012697323266986957,0.01169775084868792,0.001784651992861392,F3_isotonic,false
6,1682,11,0.012697323266986957,0.016129032258064516,0.013490509532201074,0.006539833531510107,F3_isotonic,true
7,1681,4,0.016129032258064516,0.02333931777378815,0.018827954809032793,0.002379535990481856,F3_isotonic,false
8,1682,11,0.02333931777378815,0.04504504504504504,0.03414600774928759,0.006539833531510107,F3_isotonic,true
9,1681,69,0.04504504504504504,1.0,0.13890171631260276,0.04104699583581202,F3_isotonic,true
